Model,Type,Dataset,MAPE,SMAPE,RMSE,CV_Score,Best_Params,Feature_Count,Features_Used,Bins_>25%,Bins_5-25%,Bins_<-5%,Bins_-5- -25%,Bins_<-25%,Bins_<5%,Bins_0%
LinearRegression,Normal,data,3.4967062216319725e+17,91.48246668383611,4.225990185299801,3.965885979591532,None,23,"['age', 'gender', 'daily_screen_time_hours', 'phone_usage_hours', 'laptop_usage_hours', 'tablet_usage_hours', 'tv_usage_hours', 'social_media_hours', 'work_related_hours', 'entertainment_hours', 'gaming_hours', 'sleep_duration_hours', 'sleep_quality', 'mood_rating', 'stress_level', 'physical_activity_hours_per_week', 'location_type', 'uses_wellness_apps', 'eats_healthy', 'caffeine_intake_mg_per_day', 'weekly_anxiety_score', 'weekly_depression_score', 'mindfulness_minutes_per_day']",172,22,185,41,144,4,0
LinearRegression,Tuned,data,3.4967062216319725e+17,91.48246668383611,4.225990185299801,3.965885979591532,None,23,"['age', 'gender', 'daily_screen_time_hours', 'phone_usage_hours', 'laptop_usage_hours', 'tablet_usage_hours', 'tv_usage_hours', 'social_media_hours', 'work_related_hours', 'entertainment_hours', 'gaming_hours', 'sleep_duration_hours', 'sleep_quality', 'mood_rating', 'stress_level', 'physical_activity_hours_per_week', 'location_type', 'uses_wellness_apps', 'eats_healthy', 'caffeine_intake_mg_per_day', 'weekly_anxiety_score', 'weekly_depression_score', 'mindfulness_minutes_per_day']",172,22,185,41,144,4,0
LinearRegression,RFECV,data,3.4656265218330394e+17,90.68085315156836,4.2011751696254125,3.913394103788891,None,3,"['sleep_duration_hours', 'stress_level', 'physical_activity_hours_per_week']",177,19,184,44,140,9,0
LinearRegression,Averaged_Ensemble,data,3.542828281348669e+17,91.00746759942258,4.236451229908082,3.971150596877569,None,23,"['age', 'gender', 'daily_screen_time_hours', 'phone_usage_hours', 'laptop_usage_hours', 'tablet_usage_hours', 'tv_usage_hours', 'social_media_hours', 'work_related_hours', 'entertainment_hours', 'gaming_hours', 'sleep_duration_hours', 'sleep_quality', 'mood_rating', 'stress_level', 'physical_activity_hours_per_week', 'location_type', 'uses_wellness_apps', 'eats_healthy', 'caffeine_intake_mg_per_day', 'weekly_anxiety_score', 'weekly_depression_score', 'mindfulness_minutes_per_day']",177,23,183,48,135,4,0
LinearRegression,Normal,cleaned_data,2.351251780824828e+17,81.52912504460333,3.3152071823839546,3.337964671357055,None,23,"['age', 'gender', 'daily_screen_time_hours', 'phone_usage_hours', 'laptop_usage_hours', 'tablet_usage_hours', 'tv_usage_hours', 'social_media_hours', 'work_related_hours', 'entertainment_hours', 'gaming_hours', 'sleep_duration_hours', 'sleep_quality', 'mood_rating', 'stress_level', 'physical_activity_hours_per_week', 'location_type', 'uses_wellness_apps', 'eats_healthy', 'caffeine_intake_mg_per_day', 'weekly_anxiety_score', 'weekly_depression_score', 'mindfulness_minutes_per_day']",164,32,170,56,114,11,0
LinearRegression,Tuned,cleaned_data,2.351251780824828e+17,81.52912504460333,3.3152071823839546,3.337964671357055,None,23,"['age', 'gender', 'daily_screen_time_hours', 'phone_usage_hours', 'laptop_usage_hours', 'tablet_usage_hours', 'tv_usage_hours', 'social_media_hours', 'work_related_hours', 'entertainment_hours', 'gaming_hours', 'sleep_duration_hours', 'sleep_quality', 'mood_rating', 'stress_level', 'physical_activity_hours_per_week', 'location_type', 'uses_wellness_apps', 'eats_healthy', 'caffeine_intake_mg_per_day', 'weekly_anxiety_score', 'weekly_depression_score', 'mindfulness_minutes_per_day']",164,32,170,56,114,11,0
LinearRegression,RFECV,cleaned_data,2.3403096985628906e+17,82.14818399919888,3.308524667155607,3.3121002988569668,None,3,"['sleep_duration_hours', 'stress_level', 'physical_activity_hours_per_week']",167,23,172,55,117,15,0
LinearRegression,Averaged_Ensemble,cleaned_data,2.384680423942491e+17,81.52689850050155,3.313535369174537,3.2897080389652014,None,23,"['age', 'gender', 'daily_screen_time_hours', 'phone_usage_hours', 'laptop_usage_hours', 'tablet_usage_hours', 'tv_usage_hours', 'social_media_hours', 'work_related_hours', 'entertainment_hours', 'gaming_hours', 'sleep_duration_hours', 'sleep_quality', 'mood_rating', 'stress_level', 'physical_activity_hours_per_week', 'location_type', 'uses_wellness_apps', 'eats_healthy', 'caffeine_intake_mg_per_day', 'weekly_anxiety_score', 'weekly_depression_score', 'mindfulness_minutes_per_day']",172,31,166,56,110,11,0
LinearRegression,Normal,binned_data,7.142626484865416e+16,56.11380369340161,1.8926868537368746,1.8567445663898063,None,42,"['age', 'gender', 'daily_screen_time_hours', 'phone_usage_hours', 'laptop_usage_hours', 'tablet_usage_hours', 'tv_usage_hours', 'social_media_hours', 'work_related_hours', 'entertainment_hours', 'gaming_hours', 'sleep_duration_hours', 'sleep_quality', 'mood_rating', 'stress_level', 'physical_activity_hours_per_week', 'location_type', 'uses_wellness_apps', 'eats_healthy', 'caffeine_intake_mg_per_day', 'weekly_anxiety_score', 'weekly_depression_score', 'mindfulness_minutes_per_day', 'age_binned', 'daily_screen_time_hours_binned', 'phone_usage_hours_binned', 'laptop_usage_hours_binned', 'tablet_usage_hours_binned', 'tv_usage_hours_binned', 'social_media_hours_binned', 'work_related_hours_binned', 'entertainment_hours_binned', 'gaming_hours_binned', 'sleep_duration_hours_binned', 'sleep_quality_binned', 'mood_rating_binned', 'stress_level_binned', 'physical_activity_hours_per_week_binned', 'caffeine_intake_mg_per_day_binned', 'weekly_anxiety_score_binned', 'weekly_depression_score_binned', 'mindfulness_minutes_per_day_binned']",131,47,181,65,116,19,0
LinearRegression,Tuned,binned_data,7.142626484865416e+16,56.11380369340161,1.8926868537368746,1.8567445663898063,None,42,"['age', 'gender', 'daily_screen_time_hours', 'phone_usage_hours', 'laptop_usage_hours', 'tablet_usage_hours', 'tv_usage_hours', 'social_media_hours', 'work_related_hours', 'entertainment_hours', 'gaming_hours', 'sleep_duration_hours', 'sleep_quality', 'mood_rating', 'stress_level', 'physical_activity_hours_per_week', 'location_type', 'uses_wellness_apps', 'eats_healthy', 'caffeine_intake_mg_per_day', 'weekly_anxiety_score', 'weekly_depression_score', 'mindfulness_minutes_per_day', 'age_binned', 'daily_screen_time_hours_binned', 'phone_usage_hours_binned', 'laptop_usage_hours_binned', 'tablet_usage_hours_binned', 'tv_usage_hours_binned', 'social_media_hours_binned', 'work_related_hours_binned', 'entertainment_hours_binned', 'gaming_hours_binned', 'sleep_duration_hours_binned', 'sleep_quality_binned', 'mood_rating_binned', 'stress_level_binned', 'physical_activity_hours_per_week_binned', 'caffeine_intake_mg_per_day_binned', 'weekly_anxiety_score_binned', 'weekly_depression_score_binned', 'mindfulness_minutes_per_day_binned']",131,47,181,65,116,19,0
